F606W err (muJy),F814W err (muJy),F125W err (muJy),F160W err (muJy),F606W/F814W err,F814W/F125W err,F125W/F160W err
0.0263136,0.0342042,0.0414628,0.0363915,0.042648083972320006,0.03342321882736003,0.03829927179018454
0.0190145,0.0246026,0.0290692,0.0257389,0.0774470505256217,0.1488346888331901,0.11877771906696134
0.0363842,0.0436112,0.0567584,0.0490716,1.5792388136566984,0.4998666079549424,0.8156400796887676
0.0337751,0.0389684,0.0466926,0.0420042,0.06902592503967983,0.02015825930148622,0.021716741353833165
0.0263359,0.0318686,0.055504,0.0459867,0.05076108174659894,0.030940219387209023,0.032973783694910705
0.0121979,0.0144403,0.0254632,0.0217573,0.0744135827182133,0.10863602399029358,0.13166873578324836
0.0247907,0.0296588,0.0369456,0.0326604,0.06428606115388164,0.029986036429876187,0.039913959350665135
0.016544,0.0186505,0.021858,0.0187214,0.1126052441037399,0.0650919825564262,0.11150797746282926
0.0154863,0.019476,0.061147,0.020149,0.20049465877275738,0.07960351187979182,0.36898733076428314
0.0173931,0.0215703,0.025636,0.0242109,0.15506485848583468,0.17071558445156562,0.1076824006675364
0.0142001,0.0175388,0.0211901,0.0198044,0.2617233637239372,0.2766572288709128,0.15601212604708234
0.0188056,0.0221076,0.0193101,0.0164371,0.12153861392820027,0.08671504816276887,0.09044934354708488
0.0173975,0.0199996,0.0244289,0.0221356,0.35993471625900436,0.16044469170838616,0.10977828156200975
0.0192218,0.0241335,0.028138,0.0250281,0.07805864860187606,0.08460117643727344,0.07880563360385837
0.0227991,0.0276916,0.0317246,0.0264576,0.04869505217800727,0.04754009447773848,0.05954187215849374
0.0168923,0.0201588,0.0215319,0.0196877,0.25396341749672025,0.302350358659019,0.14280485033912627
0.00797088,0.00905125,0.010681,0.0100894,0.3812445972034477,0.18577359218500347,0.12577628774224978
0.0213565,0.0293234,0.0347523,0.0304984,0.029798160362469028,0.02910694559109841,0.029976190360634394
0.0126279,0.0145552,0.0174337,0.0162014,0.18049689609719102,0.10531474177537527,0.07350847927132155
0.0293156,0.0383984,0.0439811,0.0382259,0.022991919673402236,0.025720751449426742,0.027099258585444555
0.0140515,0.0202027,0.019388,0.0170391,0.14002490234236206,0.1364828902431958,0.16618596491731655
0.014418,0.0154787,0.0167036,0.0152268,0.325869174960633,0.269556711679579,0.12029810261205338
0.0214581,0.0275405,0.0331816,0.0303564,0.1417981432364966,0.15833271661734086,0.14601806340997692
0.00911315,0.0114458,0.0288376,0.028389,0.18433966235835583,0.1390235226004111,0.16071202160227602
0.0119663,0.0155535,0.0383652,0.0327765,0.04595805504186329,0.08676807066346648,0.09392508620951898
0.0072016,0.00892814,0.0191882,0.0189076,0.2315390473377012,0.19195450128085548,0.11673056190482711
0.0147944,0.0191036,0.0237162,0.0212034,0.15237636091429865,0.1165082937010115,0.13725125851007566
0.0183684,0.0236563,0.0277985,0.0246731,0.05595685033619208,0.04998156007520096,0.04947396075813776
0.0173022,0.0206229,0.024981,0.0231178,0.32984319366511466,0.18289280857898713,0.18742061457839243
0.0125965,0.0152379,0.0192613,0.0163104,0.26412436661407906,0.2136014236311925,0.20037805128442096
0.0605882,0.0719884,0.0597324,0.0532258,0.05199853569062393,0.049968431008823526,0.041467544930376236
0.00877513,0.0110599,0.0234417,0.0199874,0.18177065930905117,0.15696434029111014,0.11731932687762774
0.0105772,0.0130006,0.0125123,0.0106248,0.2643570668880727,0.14847446917883741,0.16726618676988703
0.0317909,0.0403922,0.0496413,0.0390678,0.026689847398950434,0.03093449315462787,0.03671872599903238
0.0128654,0.0167963,0.0264112,0.0253655,0.19137766929883127,0.10440386293288033,0.08490311745766052
0.0171565,0.0212648,0.0288374,0.025706,0.09398117124405359,0.08059145670396077,0.08868221588376404
0.0199004,0.0228277,0.0282089,0.0260276,0.285034975942668,0.17241009738401578,0.1114481294112572
0.0134336,0.0163808,0.0208182,0.0190381,0.7030592202456704,0.07456782378793879,0.0964278085313582
0.0155218,0.0199133,0.0341619,0.0300002,0.055926924948627284,0.03377789059890851,0.03607801754998881
0.0284638,0.034607,0.0297567,0.0273046,0.20024071367935034,0.1851413421407441,0.12875855877563414
0.0269834,0.0311023,0.0384076,0.0333897,0.9922581366532967,0.7232742046033221,0.3174640937853261
0.0238814,0.0295995,0.0376169,0.0334819,0.0662787703660943,0.026933936839512493,0.03201498299952679
0.0276908,0.0344432,0.0428629,0.0389353,0.7504390157227873,0.1087451495924928,0.1162769196273438
0.0294032,0.0386565,0.0461818,0.0399325,0.019019439621061784,0.015405704314103569,0.01737485237908095
0.0231592,0.0274454,0.0369891,0.0322166,0.08791272344413126,0.07091583645283499,0.07618921970825146
0.0185414,0.0222735,0.0197414,0.0169896,0.23149332496674996,0.11845046620142856,0.15602893196922143
